ID	Symbol	Type
79501	OR4F5	protein-coding
112268260	LOC112268260	protein-coding
729759	OR4F29	protein-coding
105378947	LOC105378947	protein-coding
81399	OR4F16	protein-coding
148398	SAMD11	protein-coding
26155	NOC2L	protein-coding
339451	KLHL17	protein-coding
84069	PLEKHN1	protein-coding
84808	PERM1	protein-coding
57801	HES4	protein-coding
9636	ISG15	protein-coding
375790	AGRN	protein-coding
401934	RNF223	protein-coding
54991	C1orf159	protein-coding
254173	TTLL10	protein-coding
8784	TNFRSF18	protein-coding
7293	TNFRSF4	protein-coding
51150	SDF4	protein-coding
126792	B3GALT6	protein-coding
388581	C1QTNF12	protein-coding
118424	UBE2J2	protein-coding
6339	SCNN1D	protein-coding
116983	ACAP3	protein-coding
126789	PUSL1	protein-coding
54973	INTS11	protein-coding
80772	CPTP	protein-coding
83756	TAS1R3	protein-coding
1855	DVL1	protein-coding
54587	MXRA8	protein-coding
54998	AURKAIP1	protein-coding
81669	CCNL2	protein-coding
55052	MRPL20	protein-coding
441869	ANKRD65	protein-coding
643965	TMEM88B	protein-coding
107985729	LOC107985729	protein-coding
64856	VWA1	protein-coding
219293	ATAD3C	protein-coding
83858	ATAD3B	protein-coding
55210	ATAD3A	protein-coding
339453	TMEM240	protein-coding
29101	SSU72	protein-coding
643988	FNDC10	protein-coding
142678	MIB2	protein-coding
8510	MMP23B	protein-coding
984	CDK11B	protein-coding
728661	SLC35E2B	protein-coding
728642	CDK11A	protein-coding
65220	NADK	protein-coding
2782	GNB1	protein-coding
163688	CALML6	protein-coding
339456	TMEM52	protein-coding
85452	CFAP74	protein-coding
2563	GABRD	protein-coding
5590	PRKCZ	protein-coding
199990	FAAP20	protein-coding
6497	SKI	protein-coding
79906	MORN1	protein-coding
11079	RER1	protein-coding
5192	PEX10	protein-coding
9651	PLCH2	protein-coding
55229	PANK4	protein-coding
388585	HES5	protein-coding
8764	TNFRSF14	protein-coding
127281	PRXL2B	protein-coding
79258	MMEL1	protein-coding
100287898	TTC34	protein-coding
140625	ACTRT2	protein-coding
63976	PRDM16	protein-coding
27237	ARHGEF16	protein-coding
1953	MEGF6	protein-coding
127262	TPRG1L	protein-coding
49856	WRAP73	protein-coding
7161	TP73	protein-coding
148870	CCDC27	protein-coding
388588	SMIM1	protein-coding
57470	LRRC47	protein-coding
9731	CEP104	protein-coding
1677	DFFB	protein-coding
339448	C1orf174	protein-coding
55966	AJAP1	protein-coding
261734	NPHP4	protein-coding
8514	KCNAB2	protein-coding
26038	CHD5	protein-coding
6146	RPL22	protein-coding
388591	RNF207	protein-coding
23463	ICMT	protein-coding
390992	HES3	protein-coding
387509	GPR153	protein-coding
11332	ACOT7	protein-coding
54626	HES2	protein-coding
83715	ESPN	protein-coding
8718	TNFRSF25	protein-coding
57449	PLEKHG5	protein-coding
79707	NOL9	protein-coding
80835	TAS1R1	protein-coding
3104	ZBTB48	protein-coding
9903	KLHL21	protein-coding
148479	PHF13	protein-coding
90326	THAP3	protein-coding
55735	DNAJC11	protein-coding
23261	CAMTA1	protein-coding
9341	VAMP3	protein-coding
8863	PER3	protein-coding
10911	UTS2	protein-coding
3604	TNFRSF9	protein-coding
11315	PARK7	protein-coding
54206	ERRFI1	protein-coding
50651	SLC45A1	protein-coding
473	RERE	protein-coding
2023	ENO1	protein-coding
765	CA6	protein-coding
155184	SLC2A7	protein-coding
6518	SLC2A5	protein-coding
80045	GPR157	protein-coding
9563	H6PD	protein-coding
80176	SPSB1	protein-coding
84275	SLC25A33	protein-coding
199953	TMEM201	protein-coding
5293	PIK3CD	protein-coding
22883	CLSTN1	protein-coding
56998	CTNNBIP1	protein-coding
84328	LZIC	protein-coding
64802	NMNAT1	protein-coding
116362	RBP7	protein-coding
10277	UBE4B	protein-coding
23095	KIF1B	protein-coding
5226	PGD	protein-coding
100526739	CENPS-CORT	protein-coding
378708	CENPS	protein-coding
1325	CORT	protein-coding
1676	DFFA	protein-coding
5195	PEX14	protein-coding
54897	CASZ1	protein-coding
148345	C1orf127	protein-coding
23435	TARDBP	protein-coding
10747	MASP2	protein-coding
6723	SRM	protein-coding
5394	EXOSC10	protein-coding
2475	MTOR	protein-coding
10218	ANGPTL7	protein-coding
29914	UBIAD1	protein-coding
57540	DISP3	protein-coding
26232	FBXO2	protein-coding
93611	FBXO44	protein-coding
26270	FBXO6	protein-coding
10459	MAD2L2	protein-coding
374946	DRAXIN	protein-coding
57085	AGTRAP	protein-coding
284498	C1orf167	protein-coding
4524	MTHFR	protein-coding
1185	CLCN6	protein-coding
4878	NPPA	protein-coding
4879	NPPB	protein-coding
90231	KIAA2013	protein-coding
5351	PLOD1	protein-coding
9927	MFN2	protein-coding
60672	MIIP	protein-coding
943	TNFRSF8	protein-coding
7133	TNFRSF1B	protein-coding
55187	VPS13D	protein-coding
9249	DHRS3	protein-coding
343066	AADACL4	protein-coding
126767	AADACL3	protein-coding
93190	CFAP107	protein-coding
390999	PRAMEF12	protein-coding
65121	PRAMEF1	protein-coding
440560	PRAMEF11	protein-coding
343069	HNRNPCL1	protein-coding
65122	PRAMEF2	protein-coding
400735	PRAMEF4	protein-coding
343071	PRAMEF10	protein-coding
441871	PRAMEF7	protein-coding
440561	PRAMEF6	protein-coding
101929983	PRAMEF27	protein-coding
649330	HNRNPCL3	protein-coding
441873	PRAMEF25	protein-coding
440563	HNRNPCL2	protein-coding
645359	PRAMEF26	protein-coding
101060301	HNRNPCL4	protein-coding
343070	PRAMEF9	protein-coding
400736	PRAMEF13	protein-coding
391003	PRAMEF18	protein-coding
343068	PRAMEF5	protein-coding
391002	PRAMEF8	protein-coding
645382	PRAMEF33	protein-coding
653619	PRAMEF15	protein-coding
729528	PRAMEF14	protein-coding
645414	PRAMEF19	protein-coding
391004	PRAMEF17	protein-coding
645425	PRAMEF20	protein-coding
126755	LRRC38	protein-coding
10630	PDPN	protein-coding
7799	PRDM2	protein-coding
23254	KAZN	protein-coding
55092	TMEM51	protein-coding
114827	FHAD1	protein-coding
79180	EFHD2	protein-coding
11330	CTRC	protein-coding
63036	CELA2A	protein-coding
51032	CELA2B	protein-coding
842	CASP9	protein-coding
23341	DNAJC16	protein-coding
79814	AGMAT	protein-coding
84301	DDI2	protein-coding
6248	RSC1A1	protein-coding
23207	PLEKHM2	protein-coding
284723	SLC25A34	protein-coding
388595	TMEM82	protein-coding
54751	FBLIM1	protein-coding
440567	UQCRHL	protein-coding
23013	SPEN	protein-coding
7709	ZBTB17	protein-coding
149563	SRARP	protein-coding
27129	HSPB7	protein-coding
1187	CLCNKA	protein-coding
1188	CLCNKB	protein-coding
348487	FAM131C	protein-coding
1969	EPHA2	protein-coding
128272	ARHGEF19	protein-coding
79363	CPLANE2	protein-coding
54455	FBXO42	protein-coding
26099	SZRD1	protein-coding
374955	SPATA21	protein-coding
55707	NECAP2	protein-coding
55672	NBPF1	protein-coding
9696	CROCC	protein-coding
4237	MFAP2	protein-coding
23400	ATP13A2	protein-coding
6390	SDHB	protein-coding
11240	PADI2	protein-coding
29943	PADI1	protein-coding
51702	PADI3	protein-coding
23569	PADI4	protein-coding
353238	PADI6	protein-coding
55920	RCC2	protein-coding
55160	ARHGEF10L	protein-coding
81569	ACTL8	protein-coding
84966	IGSF21	protein-coding
127707	KLHDC7A	protein-coding
5081	PAX7	protein-coding
80834	TAS1R2	protein-coding
8659	ALDH4A1	protein-coding
126917	IFFO2	protein-coding
23352	UBR4	protein-coding
23065	EMC1	protein-coding
51154	MRTO4	protein-coding
246181	AKR7L	protein-coding
22977	AKR7A3	protein-coding
8574	AKR7A2	protein-coding
54896	SLC66A1	protein-coding
832	CAPZB	protein-coding
440574	MICOS10	protein-coding
100532736	MICOS10-NBL1	protein-coding
4681	NBL1	protein-coding
3362	HTR6	protein-coding
255104	TMCO4	protein-coding
54546	RNF186	protein-coding
23252	OTUD3	protein-coding
30814	PLA2G2E	protein-coding
5320	PLA2G2A	protein-coding
5322	PLA2G5	protein-coding
26279	PLA2G2D	protein-coding
64600	PLA2G2F	protein-coding
391013	PLA2G2C	protein-coding
127733	UBXN10	protein-coding
127731	VWA5B1	protein-coding
55450	CAMK2N1	protein-coding
79594	MUL1	protein-coding
163933	FAM43B	protein-coding
978	CDA	protein-coding
65018	PINK1	protein-coding
1650	DDOST	protein-coding
57576	KIF17	protein-coding
400745	SH2D5	protein-coding
50809	HP1BP3	protein-coding
8672	EIF4G3	protein-coding
1889	ECE1	protein-coding
84224	NBPF3	protein-coding
249	ALPL	protein-coding
5909	RAP1GAP	protein-coding
84196	USP48	protein-coding
401944	LDLRAD2	protein-coding
3339	HSPG2	protein-coding
23436	CELA3B	protein-coding
10136	CELA3A	protein-coding
998	CDC42	protein-coding
54361	WNT4	protein-coding
9923	ZBTB40	protein-coding
2046	EPHA8	protein-coding
712	C1QA	protein-coding
714	C1QC	protein-coding
713	C1QB	protein-coding
2048	EPHB2	protein-coding
646262	LACTBL1	protein-coding
729059	TEX46	protein-coding
23028	KDM1A	protein-coding
7798	LUZP1	protein-coding
3352	HTR1D	protein-coding
10236	HNRNPR	protein-coding
80818	ZNF436	protein-coding
6920	TCEA3	protein-coding
55616	ASAP3	protein-coding
1870	E2F2	protein-coding
3399	ID3	protein-coding
6135	RPL11	protein-coding
6924	ELOA	protein-coding
57095	PITHD1	protein-coding
11313	LYPLA2	protein-coding
2582	GALE	protein-coding
3155	HMGCL	protein-coding
2517	FUCA1	protein-coding
1269	CNR2	protein-coding
55629	PNRC2	protein-coding
10772	SRSF10	protein-coding
127294	MYOM3	protein-coding
58985	IL22RA1	protein-coding
163702	IFNLR1	protein-coding
57822	GRHL3	protein-coding
90529	STPG1	protein-coding
57185	NIPAL3	protein-coding
11123	RCAN3	protein-coding
400746	NCMAP	protein-coding
10250	SRRM1	protein-coding
25932	CLIC4	protein-coding
864	RUNX3	protein-coding
25949	SYF2	protein-coding
57035	RSRP1	protein-coding
6007	RHD	protein-coding
23585	TMEM50A	protein-coding
6006	RHCE	protein-coding
55219	MACO1	protein-coding
26119	LDLRAP1	protein-coding
57134	MAN1C1	protein-coding
57190	SELENON	protein-coding
56181	MTFR1L	protein-coding
79000	AUNIP	protein-coding
164091	PAQR7	protein-coding
3925	STMN1	protein-coding
5051	PAFAH2	protein-coding
2134	EXTL1	protein-coding
7780	SLC30A2	protein-coding
84676	TRIM63	protein-coding
149420	PDIK1L	protein-coding
79927	FAM110D	protein-coding
110806296	C1orf232	protein-coding
51042	ZNF593	protein-coding
10256	CNKSR1	protein-coding
378807	CATSPER4	protein-coding
64793	CEP85	protein-coding
83442	SH3BGRL3	protein-coding
91544	UBXN11	protein-coding
1043	CD52	protein-coding
55057	CRYBG2	protein-coding
257101	ZNF683	protein-coding
79727	LIN28A	protein-coding
79947	DHDDS	protein-coding
3151	HMGN2	protein-coding
6195	RPS6KA1	protein-coding
8289	ARID1A	protein-coding
55650	PIGV	protein-coding
84243	ZDHHC18	protein-coding
2810	SFN	protein-coding
54707	GPN2	protein-coding
63906	GPATCH3	protein-coding
10726	NUDC	protein-coding
8431	NR0B2	protein-coding
126695	KDF1	protein-coding
388610	TRNP1	protein-coding
115572	TENT5B	protein-coding
6548	SLC9A1	protein-coding
23038	WDTC1	protein-coding
84065	TMEM222	protein-coding
84958	SYTL1	protein-coding
9064	MAP3K6	protein-coding
8547	FCN3	protein-coding
388611	CD164L2	protein-coding
2827	GPR3	protein-coding
10163	WASF2	protein-coding
27245	AHDC1	protein-coding
2268	FGR	protein-coding
2537	IFI6	protein-coding
199870	FAM76A	protein-coding
23673	STX12	protein-coding
5511	PPP1R8	protein-coding
9473	THEMIS2	protein-coding
6118	RPA2	protein-coding
27293	SMPDL3B	protein-coding
55113	XKR8	protein-coding
2140	EYA3	protein-coding
5724	PTAFR	protein-coding
22826	DNAJC8	protein-coding
93974	ATP5IF1	protein-coding
83667	SESN2	protein-coding
54797	MED18	protein-coding
65979	PHACTR4	protein-coding
1104	RCC1	protein-coding
54952	TRNAU1AP	protein-coding
115273	RAB42	protein-coding
6883	TAF12	protein-coding
10691	GMEB1	protein-coding
51441	YTHDF2	protein-coding
4985	OPRD1	protein-coding
2035	EPB41	protein-coding
399474	TMEM200B	protein-coding
6429	SRSF4	protein-coding
51102	MECR	protein-coding
10076	PTPRU	protein-coding
4146	MATN1	protein-coding
7805	LAPTM5	protein-coding
9672	SDC3	protein-coding
9698	PUM1	protein-coding
79570	NKAIN1	protein-coding
9410	SNRNP40	protein-coding
51538	ZCCHC17	protein-coding
2170	FABP3	protein-coding
347735	SERINC2	protein-coding
64129	TINAGL1	protein-coding
3061	HCRTR1	protein-coding
553115	PEF1	protein-coding
1307	COL16A1	protein-coding
576	ADGRB2	protein-coding
90853	SPOCD1	protein-coding
8073	PTP4A2	protein-coding
10657	KHDRBS1	protein-coding
55116	TMEM39B	protein-coding
23633	KPNA6	protein-coding
200081	TXLNA	protein-coding
79140	CCDC28B	protein-coding
56063	TMEM234	protein-coding
55721	IQCC	protein-coding
149069	DCDC2B	protein-coding
8668	EIF3I	protein-coding
84734	FAM167B	protein-coding
3932	LCK	protein-coding
3065	HDAC1	protein-coding
