sample	group	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	supplementary_file.1	data_row_count	relation	relation.1
GSM279742	Control	GSM279742	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279742/suppl/GSM279742.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279742/suppl/GSM279742.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279743	Control	GSM279743	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	Neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279743/suppl/GSM279743.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279743/suppl/GSM279743.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279744	Control	GSM279744	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279744/suppl/GSM279744.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279744/suppl/GSM279744.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279745	Control	GSM279745	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279745/suppl/GSM279745.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279745/suppl/GSM279745.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279746	Control	GSM279746	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279746/suppl/GSM279746.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279746/suppl/GSM279746.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279747	Control	GSM279747	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279747/suppl/GSM279747.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279747/suppl/GSM279747.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279748	Control	GSM279748	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279748/suppl/GSM279748.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279748/suppl/GSM279748.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279749	Control	GSM279749	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279749/suppl/GSM279749.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279749/suppl/GSM279749.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279750	Control	GSM279750	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279750/suppl/GSM279750.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279750/suppl/GSM279750.CHP.gz	54675	Reanalyzed by: GSE119087	
GSM279751	Control	GSM279751	Public on Mar 25 2009	Apr 04 2008	Aug 28 2018	RNA	1	neutrophil	Homo sapiens	neutrophil	total RNA	Trizol + RNEasy	biotin	Affymetrix	9606	Affymetrix	Affymetrix	Affymetrix	GCOS 5.0	GPL570	"Bart,,Frank"	frank@omrf.org	OMRF	825 NE 13 St	Oklahoma City	OK	73103	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279751/suppl/GSM279751.CEL.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM279nnn/GSM279751/suppl/GSM279751.CHP.gz	54675	Reanalyzed by: GSE119087	
